,AdmArea,District,lat,lon,Address,Mark
0,Южный административный округ,район Бирюлёво Восточное,55.58396705478,37.685992323696,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 54/21, строение 2",0.5812113052889156
1,Южный административный округ,Донской район,55.708618529789,37.586619245532,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Донской, Ленинский проспект, дом 37А",1.821134344684161
2,Юго-Западный административный округ,район Тёплый Стан,55.64615629859,37.477928135078,"город Москва, Ленинский проспект, дом 127",5.7287100944839295
3,Новомосковский административный округ,поселение Внуковское,55.659028312148,37.3309955574756,"город Москва, поселение Внуковское, посёлок ДСК &quot;Мичуринец&quot;, улица Серафимовича, дом 3А",1.1545707734393662
4,Юго-Восточный административный округ,район Кузьминки,55.7085413278124,37.7829571652886,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, улица Фёдора Полетаева, дом 28",8.729875151551829
5,Южный административный округ,район Зябликово,55.6216163969357,37.7537252660841,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зябликово, Задонский проезд, дом 24, корпус 3",7.727331967473955
6,Западный административный округ,район Фили-Давыдково,55.7179055692206,37.4613241665065,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 22",1.3965616810757564
7,Северный административный округ,район Сокол,55.7929302275649,37.5130023714155,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, Новопесчаная улица, дом 23, корпус 7",0.7373727071466096
8,Восточный административный округ,район Восточный,55.8172470544614,37.8675572309172,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Восточный, улица 9 Мая, дом 14",8.026080924894805
9,Южный административный округ,район Орехово-Борисово Южное,55.6091518430855,37.7271003602073,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 10",3.414892707946043
10,Северный административный округ,Тимирязевский район,55.81236883305,37.566800864364,"город Москва, Тимирязевская улица, дом 17, корпус 1",0.988780756729658
11,Северо-Восточный административный округ,район Бибирево,55.897588458578,37.628936227232,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Корнейчука, дом 40",5.52617063234484
12,Западный административный округ,Можайский район,55.710742250373,37.3947129244369,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 39, корпус 3",5.694846477390115
13,Юго-Восточный административный округ,район Текстильщики,55.6974236863294,37.7437206264585,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, улица Чистова, дом 15/15",4.831156447084605
14,Юго-Восточный административный округ,район Текстильщики,55.701937362737,37.746293702145,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Текстильщики, 8-я улица Текстильщиков, дом 14",9.822305258102377
15,Северный административный округ,район Беговой,55.78586772485,37.578212211505,"город Москва, улица Правды, дом 11",8.449606960686202
16,Зеленоградский административный округ,район Савёлки,55.9885996958705,37.2305671451613,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 607А",6.4545573264818445
17,Северный административный округ,Войковский район,55.819236729226,37.516483864996,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Космонавта Волкова, дом 3",7.171297201970891
18,Северный административный округ,Тимирязевский район,55.845149102555,37.569783020538,"город Москва, Дмитровское шоссе, дом 43, корпус 1",3.1715675550761526
19,Восточный административный округ,район Перово,55.7646946413903,37.787665395623,"город Москва, шоссе Энтузиастов, дом 78, корпус 1",2.7583531136941932
20,Южный административный округ,район Царицыно,55.63141088834,37.677837332495,"город Москва, улица Медиков, дом 22, корпус 3",5.354745871680688
21,Южный административный округ,район Бирюлёво Восточное,55.598494908022,37.6706948038191,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Липецкая улица, дом 10, корпус 1, строение 3",6.510239188619172
22,Восточный административный округ,район Богородское,55.8197107934884,37.7159370062873,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Богородское, Ивантеевская улица, дом 4, корпус 2",6.226991019361153
23,Восточный административный округ,район Измайлово,55.7891503544015,37.8120605461299,"город Москва, 4-я Парковая улица, дом 12, корпус 1",2.5214067981821264
24,Новомосковский административный округ,поселение Сосенское,55.56999062775,37.477696074548,"город Москва, поселение Сосенское, посёлок Коммунарка, дом 14",9.41253686113058
25,Восточный административный округ,район Гольяново,55.814218191016,37.796236287368004,"город Москва, Амурская улица, дом 31",3.0609369795104326
26,Центральный административный округ,Тверской район,55.7813784575863,37.6024715183303,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Новослободская улица, дом 49/2",1.4322401591912126
